z,n,symbol,start_level_idx,start_level_energy,unc_sle,start_level_jp,end_level_idx,end_level_energy,unc_ele,end_level_jp,gamma_idx,energy,unc_en,relative_intensity,unc_ri,multipolarity,mixing_ratio,unc_mr,b_e1,unc_be1,b_e2,unc_be2,b_m1,unc_bm1,b_m2,unc_bm2,tot_conv_coeff,tce_unc,ensdf_publication_cut-off,ensdf_authors,Extraction_date
3,3,Li,1,2186.0,2.0,3+,0.0,0.0,,1+,0,2186.0,,,,E2,,,,,16.5,,,,,,,,23-Aug-2001,HU and  TILLEY and  KELLEY et al.,2026-01-29
3,3,Li,2,3562.88,0.1,0+,0.0,0.0,,1+,0,3561.75,,,,M1,,,,,,,8.62,,,,,,23-Aug-2001,HU and  TILLEY and  KELLEY et al.,2026-01-29
3,3,Li,3,4312.0,22.0,2+,0.0,0.0,,1+,0,4310.0,,,,E2,,,,,6.8,,,,,,,,23-Aug-2001,HU and  TILLEY and  KELLEY et al.,2026-01-29
3,3,Li,4,5366.0,15.0,2+,0.0,0.0,,1+,0,5363.0,,,,M1,,,,,,,0.083,,,,,,23-Aug-2001,HU and  TILLEY and  KELLEY et al.,2026-01-29
3,4,Li,1,477.612,0.003,1/2-,0.0,0.0,,3/2-,0,477.595,,,,M1(+E2),,,,,19.7,,2.75,,,,,,23-Aug-2001,HU and  TILLEY and  KELLEY and  GODWIN et al.,2026-01-29
3,4,Li,2,4630.0,9.0,7/2-,0.0,0.0,,3/2-,0,4628.0,,,,E2,,,,,4.3,,,,,,,,23-Aug-2001,HU and  TILLEY and  KELLEY and  GODWIN et al.,2026-01-29
3,5,Li,1,980.8,0.1,1+,0.0,0.0,,2+,0,980.7,,,,M1,,,,,,,2.8,,,,,,31-Mar-2004,D.R. Tilley and  J.H. Kelley and  J.L. Godwin and  D.J Millener et al.,2026-01-29
3,5,Li,2,2255.0,3.0,3+,0.0,0.0,,2+,0,2255.0,,,,M1,,,,,,,0.29,,,,,,31-Mar-2004,D.R. Tilley and  J.H. Kelley and  J.L. Godwin and  D.J Millener et al.,2026-01-29
3,6,Li,1,2691.0,5.0,(1/2-),0.0,0.0,,3/2-,0,2691.0,5.0,100.0,,,,,,,,,,,,,,,31-Mar-2004,J.H. KELLEY and  C.G. SHEU and  J.L. GODWIN and  ET AL.,2026-01-29
4,3,Be,1,429.08,0.1,1/2-,0.0,0.0,,3/2-,0,429.07,,,,M1,,,,,,,2.07,,,,,,23-Aug-2001,HU and  TILLEY and  KELLEY and  GODWIN et al.,2026-01-29
