z,n,a,symbol,be2_2plus_adopted,be2_2plus_unc_adopted,E2_2plus_adopted,E2_2plus_unc_adopted,be2_2plus_ref,be2_2plus_type,be2_experimental_count
4,6,10,Be,0.00467,0.00021,3368.03,0.03,ADNDT_107_1_2016_2016PR01,MODEL_INDEPENDENT,2
4,8,12,Be,0.004,0.0017,2102.0,12.0,ADNDT_107_1_2016_2016PR01,MODEL_INDEPENDENT,2
6,4,10,C,0.0045,0.00042,3353.7,0.6,ADNDT_107_1_2016_2016PR01,MODEL_INDEPENDENT,3
6,6,12,C,0.00397,0.0002,4438.91,0.31,ADNDT_107_1_2016_2016PR01,MODEL_INDEPENDENT,17
6,8,14,C,0.00187,0.00025,7012.0,4.0,ADNDT_78_1_2001_2001RA27,MODEL_INDEPENDENT,1
6,10,16,C,0.00179,0.0002,1766.0,10.0,ADNDT_107_1_2016_2016PR01,MODEL_INDEPENDENT,7
6,12,18,C,0.00168,0.00019,1620.0,20.0,ADNDT_107_1_2016_2016PR01,MODEL_INDEPENDENT,2
6,14,20,C,0.0038,0.0013,1618.0,6.0,ADNDT_107_1_2016_2016PR01,MODEL_INDEPENDENT,2
8,8,16,O,0.00371,0.00039,6917.1,0.6,ADNDT_107_1_2016_2016PR01,MODEL_INDEPENDENT,9
8,10,18,O,0.0043,0.00038,1982.07,0.09,ADNDT_107_1_2016_2016PR01,MODEL_INDEPENDENT,20
8,12,20,O,0.00298,0.00026,1673.6,1.5,ADNDT_107_1_2016_2016PR01,MODEL_INDEPENDENT,3
8,14,22,O,0.0021,0.0008,3199.0,8.0,ADNDT_107_1_2016_2016PR01,MODEL_INDEPENDENT,1
10,8,18,Ne,0.0243,0.0016,1887.3,0.2,ADNDT_107_1_2016_2016PR01,MODEL_INDEPENDENT,6
10,10,20,Ne,0.0333,0.0016,1633.674,0.015,ADNDT_107_1_2016_2016PR01,MODEL_INDEPENDENT,18
10,12,22,Ne,0.02298,0.00042,1274.577,0.007,ADNDT_107_1_2016_2016PR01,MODEL_INDEPENDENT,26
10,14,24,Ne,0.0143,0.0041,1981.6,0.4,ADNDT_107_1_2016_2016PR01,MODEL_INDEPENDENT,2
