observable,z,n,measurement,oof_prediction,residual
charge_radius,11,11,2.9852,3.051706,0.06650599999999995
charge_radius,11,12,2.9936,3.0313146,0.037714600000000154
charge_radius,11,13,2.9735,2.9912233,0.01772330000000011
charge_radius,11,14,2.9769,2.987834,0.010933999999999777
charge_radius,11,15,2.9928,2.9936786,0.0008786000000000627
charge_radius,11,16,3.0136,3.0437005,0.030100500000000086
charge_radius,11,17,3.04,3.0275097,-0.012490300000000065
charge_radius,11,18,3.0922,3.06008,-0.032119999999999926
charge_radius,11,19,3.118,3.066813,-0.051187000000000094
charge_radius,11,20,3.1704,3.0812993,-0.08910069999999992
charge_radius,12,12,3.057,3.0691006,0.012100600000000128
charge_radius,12,13,3.0284,3.0292745,0.0008745000000001113
charge_radius,12,14,3.0337,3.0295253,-0.004174700000000087
charge_radius,13,14,3.061,3.0742717,0.01327170000000022
charge_radius,14,14,3.1224,3.104994,-0.01740599999999981
charge_radius,14,15,3.1176,3.123693,0.006092999999999904
charge_radius,14,16,3.1336,3.160131,0.02653099999999986
charge_radius,15,16,3.1889,3.1963677,0.007467700000000299
charge_radius,16,16,3.2611,3.249778,-0.011321999999999832
charge_radius,16,18,3.2847,3.2830317,-0.001668299999999956
charge_radius,16,20,3.2985,3.319621,0.021120999999999945
charge_radius,17,18,3.3654,3.3323512,-0.03304879999999999
charge_radius,17,20,3.384,3.363673,-0.020326999999999984
charge_radius,18,14,3.3468,3.3115637,-0.035236299999999776
charge_radius,18,15,3.3438,3.3404179,-0.0033821000000000545
charge_radius,18,16,3.3654,3.366363,0.0009630000000000472
charge_radius,18,17,3.3636,3.3805265,0.01692650000000029
charge_radius,18,18,3.3905,3.405196,0.014696000000000264
charge_radius,18,19,3.3908,3.3965976,0.00579760000000018
charge_radius,18,20,3.4028,3.430253,0.02745299999999995
charge_radius,18,21,3.4093,3.418378,0.009078000000000142
charge_radius,18,22,3.4274,3.430305,0.0029050000000001575
charge_radius,18,23,3.4251,3.4197087,-0.005391299999999877
charge_radius,18,24,3.4414,3.4319205,-0.009479499999999863
charge_radius,18,25,3.4354,3.4258063,-0.009593699999999927
charge_radius,18,26,3.4454,3.4360979,-0.009302099999999758
charge_radius,18,28,3.4377,3.438886,0.0011860000000001314
charge_radius,19,19,3.4264,3.4308584,0.0044583999999998625
charge_radius,19,20,3.4349,3.4529774,0.018077400000000132
charge_radius,19,21,3.4381,3.4445398,0.0064397999999998845
charge_radius,19,22,3.4518,3.4566207,0.004820700000000233
charge_radius,19,23,3.4517,3.4392288,-0.012471200000000238
charge_radius,19,24,3.4556,3.4520783,-0.00352169999999985
charge_radius,19,25,3.4563,3.4453115,-0.01098850000000029
charge_radius,19,26,3.4605,3.4578247,-0.002675299999999936
charge_radius,19,27,3.4558,3.4466946,-0.009105400000000152
charge_radius,19,28,3.4534,3.4592023,0.005802300000000038
charge_radius,20,19,3.4595,3.4706502,0.011150200000000332
charge_radius,20,20,3.4776,3.481081,0.0034810000000002894
charge_radius,20,21,3.478,3.4840114,0.006011399999999778
charge_radius,20,22,3.5081,3.4939973,-0.014102700000000024
charge_radius,20,23,3.4954,3.4844086,-0.010991399999999985
charge_radius,20,24,3.5179,3.4926918,-0.025208200000000236
charge_radius,20,25,3.4944,3.4924397,-0.001960300000000359
charge_radius,20,26,3.4953,3.5034456,0.008145600000000197
charge_radius,20,27,3.4783,3.4977198,0.019419800000000098
charge_radius,20,28,3.4771,3.4973547,0.020254699999999737
charge_radius,20,30,3.5168,3.5294762,0.012676200000000026
charge_radius,21,21,3.5702,3.5339117,-0.03628829999999983
charge_radius,21,22,3.5575,3.56819,0.010689999999999866
charge_radius,21,23,3.5432,3.5566916,0.013491600000000048
charge_radius,21,24,3.5459,3.5658133,0.0199132999999998
charge_radius,21,25,3.5243,3.5642467,0.03994669999999978
