observable,z,n,partition_seed,fold
charge_radius,11,11,0,2
charge_radius,11,12,0,0
charge_radius,11,13,0,1
charge_radius,11,14,0,2
charge_radius,11,15,0,3
charge_radius,11,16,0,0
charge_radius,11,17,0,2
charge_radius,11,18,0,2
charge_radius,11,19,0,0
charge_radius,11,20,0,4
charge_radius,12,12,0,1
charge_radius,12,13,0,4
charge_radius,12,14,0,1
charge_radius,13,14,0,3
charge_radius,14,14,0,0
charge_radius,14,15,0,2
charge_radius,14,16,0,3
charge_radius,15,16,0,1
charge_radius,16,16,0,1
charge_radius,16,18,0,4
charge_radius,16,20,0,2
charge_radius,17,18,0,1
charge_radius,17,20,0,2
charge_radius,18,14,0,4
charge_radius,18,15,0,3
charge_radius,18,16,0,3
charge_radius,18,17,0,2
charge_radius,18,18,0,0
charge_radius,18,19,0,4
charge_radius,18,20,0,3
charge_radius,18,21,0,0
charge_radius,18,22,0,0
charge_radius,18,23,0,4
charge_radius,18,24,0,3
charge_radius,18,25,0,1
charge_radius,18,26,0,1
charge_radius,18,28,0,4
charge_radius,19,19,0,1
charge_radius,19,20,0,2
charge_radius,19,21,0,1
charge_radius,19,22,0,0
charge_radius,19,23,0,4
charge_radius,19,24,0,4
charge_radius,19,25,0,4
charge_radius,19,26,0,3
charge_radius,19,27,0,0
charge_radius,19,28,0,2
charge_radius,20,19,0,4
charge_radius,20,20,0,1
charge_radius,20,21,0,1
charge_radius,20,22,0,1
charge_radius,20,23,0,2
charge_radius,20,24,0,1
charge_radius,20,25,0,4
charge_radius,20,26,0,0
charge_radius,20,27,0,0
charge_radius,20,28,0,2
charge_radius,20,30,0,4
charge_radius,21,21,0,4
charge_radius,21,22,0,3
charge_radius,21,23,0,0
charge_radius,21,24,0,3
charge_radius,21,25,0,0
charge_radius,22,22,0,2
charge_radius,22,23,0,1
charge_radius,22,24,0,2
charge_radius,22,25,0,1
charge_radius,22,26,0,3
charge_radius,22,27,0,1
charge_radius,22,28,0,3
charge_radius,23,28,0,4
charge_radius,24,26,0,1
charge_radius,24,28,0,4
charge_radius,24,29,0,3
charge_radius,24,30,0,2
charge_radius,25,25,0,0
charge_radius,25,26,0,1
charge_radius,25,27,0,0
charge_radius,25,28,0,1
charge_radius,25,29,0,0
charge_radius,25,30,0,4
charge_radius,25,31,0,1
charge_radius,26,28,0,4
charge_radius,26,30,0,3
charge_radius,26,31,0,4
charge_radius,26,32,0,0
charge_radius,27,32,0,4
charge_radius,28,30,0,4
charge_radius,28,32,0,3
charge_radius,28,33,0,2
