observable,z,n,partition_seed,fold
charge_radius,11,11,0,1
charge_radius,11,12,0,1
charge_radius,11,13,0,1
charge_radius,11,14,0,1
charge_radius,11,15,0,1
charge_radius,11,16,0,1
charge_radius,11,17,0,1
charge_radius,11,18,0,1
charge_radius,11,19,0,1
charge_radius,11,20,0,1
charge_radius,12,12,0,1
charge_radius,12,13,0,1
charge_radius,12,14,0,1
charge_radius,13,14,0,1
charge_radius,14,14,0,1
charge_radius,14,15,0,1
charge_radius,14,16,0,1
charge_radius,15,16,0,1
charge_radius,16,16,0,1
charge_radius,16,18,0,1
charge_radius,16,20,0,1
charge_radius,17,18,0,1
charge_radius,17,20,0,1
charge_radius,18,14,0,1
charge_radius,18,15,0,1
charge_radius,18,16,0,1
charge_radius,18,17,0,1
charge_radius,18,18,0,1
charge_radius,18,19,0,1
charge_radius,18,20,0,1
charge_radius,18,21,0,1
charge_radius,18,22,0,1
charge_radius,18,23,0,1
charge_radius,18,24,0,1
charge_radius,18,25,0,1
charge_radius,18,26,0,1
charge_radius,18,28,0,1
charge_radius,19,19,0,1
charge_radius,19,20,0,1
charge_radius,19,21,0,1
charge_radius,19,22,0,1
charge_radius,19,23,0,1
charge_radius,19,24,0,1
charge_radius,19,25,0,1
charge_radius,19,26,0,1
charge_radius,19,27,0,1
charge_radius,19,28,0,1
charge_radius,20,19,0,1
charge_radius,20,20,0,1
charge_radius,20,21,0,1
charge_radius,20,22,0,1
charge_radius,20,23,0,1
charge_radius,20,24,0,1
charge_radius,20,25,0,1
charge_radius,20,26,0,1
charge_radius,20,27,0,1
charge_radius,20,28,0,1
charge_radius,20,30,0,1
charge_radius,21,21,0,1
charge_radius,21,22,0,1
charge_radius,21,23,0,1
charge_radius,21,24,0,1
charge_radius,21,25,0,1
charge_radius,22,22,0,1
charge_radius,22,23,0,1
charge_radius,22,24,0,1
charge_radius,22,25,0,1
charge_radius,22,26,0,1
charge_radius,22,27,0,1
charge_radius,22,28,0,1
charge_radius,23,28,0,1
charge_radius,24,26,0,1
charge_radius,24,28,0,1
charge_radius,24,29,0,1
charge_radius,24,30,0,1
charge_radius,25,25,0,1
charge_radius,25,26,0,1
charge_radius,25,27,0,1
charge_radius,25,28,0,1
charge_radius,25,29,0,1
charge_radius,25,30,0,1
charge_radius,25,31,0,1
charge_radius,26,28,0,1
charge_radius,26,30,0,1
charge_radius,26,31,0,1
charge_radius,26,32,0,1
charge_radius,27,32,0,1
charge_radius,28,30,0,1
charge_radius,28,32,0,1
charge_radius,28,33,0,1
charge_radius,28,34,0,1
charge_radius,28,36,0,1
charge_radius,29,34,0,1
charge_radius,29,36,0,1
charge_radius,30,34,0,1
charge_radius,30,36,0,1
charge_radius,30,37,0,1
charge_radius,30,38,0,3
charge_radius,30,40,0,3
charge_radius,31,38,0,3
charge_radius,31,40,0,3
charge_radius,32,38,0,3
charge_radius,32,40,0,3
charge_radius,32,41,0,3
charge_radius,32,42,0,3
charge_radius,32,44,0,3
charge_radius,33,42,0,3
charge_radius,34,40,0,3
charge_radius,34,42,0,3
charge_radius,34,43,0,3
charge_radius,34,44,0,3
charge_radius,34,46,0,3
charge_radius,34,48,0,3
charge_radius,35,44,0,3
charge_radius,35,46,0,3
charge_radius,36,36,0,3
charge_radius,36,38,0,3
charge_radius,36,39,0,3
charge_radius,36,40,0,3
charge_radius,36,41,0,3
charge_radius,36,42,0,3
charge_radius,36,43,0,3
charge_radius,36,44,0,3
charge_radius,36,45,0,3
charge_radius,36,46,0,3
charge_radius,36,47,0,3
charge_radius,36,48,0,3
charge_radius,36,49,0,3
charge_radius,36,50,0,3
charge_radius,36,51,0,3
charge_radius,36,52,0,3
charge_radius,36,53,0,3
charge_radius,36,54,0,3
charge_radius,36,55,0,3
charge_radius,36,56,0,3
charge_radius,36,57,0,3
charge_radius,36,58,0,3
charge_radius,36,59,0,3
charge_radius,36,60,0,3
charge_radius,37,39,0,3
charge_radius,37,40,0,3
charge_radius,37,41,0,3
charge_radius,37,42,0,3
charge_radius,37,43,0,3
charge_radius,37,44,0,3
charge_radius,37,45,0,3
charge_radius,37,46,0,3
charge_radius,37,47,0,3
charge_radius,37,48,0,3
charge_radius,37,49,0,3
charge_radius,37,50,0,3
charge_radius,37,51,0,3
charge_radius,37,52,0,3
charge_radius,37,53,0,3
charge_radius,37,54,0,3
charge_radius,37,55,0,3
charge_radius,37,56,0,3
charge_radius,37,57,0,3
charge_radius,37,58,0,3
charge_radius,37,59,0,3
charge_radius,37,60,0,3
charge_radius,37,61,0,3
charge_radius,38,39,0,3
charge_radius,38,40,0,3
charge_radius,38,41,0,3
charge_radius,38,42,0,3
charge_radius,38,43,0,3
charge_radius,38,44,0,3
charge_radius,38,45,0,3
charge_radius,38,46,0,3
charge_radius,38,47,0,3
charge_radius,38,48,0,3
charge_radius,38,49,0,3
charge_radius,38,50,0,3
charge_radius,38,51,0,3
charge_radius,38,52,0,3
charge_radius,38,53,0,3
charge_radius,38,54,0,3
charge_radius,38,55,0,3
charge_radius,38,56,0,3
charge_radius,38,57,0,3
charge_radius,38,58,0,3
charge_radius,38,59,0,3
charge_radius,38,60,0,3
charge_radius,38,61,0,3
charge_radius,38,62,0,3
charge_radius,39,47,0,3
charge_radius,39,48,0,3
charge_radius,39,49,0,3
charge_radius,39,50,0,3
charge_radius,39,51,0,3
charge_radius,39,53,0,3
charge_radius,39,54,0,3
charge_radius,39,55,0,3
charge_radius,39,56,0,3
charge_radius,39,57,0,3
charge_radius,39,58,0,3
charge_radius,39,59,0,3
charge_radius,39,60,0,3
charge_radius,39,61,0,3
charge_radius,39,62,0,3
charge_radius,39,63,0,3
charge_radius,40,47,0,3
charge_radius,40,48,0,3
charge_radius,40,49,0,3
charge_radius,40,50,0,3
charge_radius,40,51,0,3
charge_radius,40,52,0,3
charge_radius,40,54,0,3
charge_radius,40,56,0,3
charge_radius,40,57,0,3
charge_radius,40,58,0,3
charge_radius,40,59,0,3
charge_radius,40,60,0,3
charge_radius,40,61,0,3
charge_radius,40,62,0,3
charge_radius,41,49,0,3
charge_radius,41,50,0,3
charge_radius,41,51,0,3
charge_radius,41,52,0,3
charge_radius,41,58,0,3
charge_radius,41,60,0,3
charge_radius,41,62,0,3
charge_radius,42,48,0,3
charge_radius,42,49,0,3
charge_radius,42,50,0,3
charge_radius,42,52,0,3
charge_radius,42,53,0,3
charge_radius,42,54,0,3
charge_radius,42,55,0,3
charge_radius,42,56,0,3
charge_radius,42,58,0,3
charge_radius,42,60,0,3
charge_radius,42,61,0,3
charge_radius,42,62,0,3
charge_radius,42,63,0,3
charge_radius,42,64,0,3
charge_radius,42,66,0,3
charge_radius,44,52,0,3
charge_radius,44,54,0,3
charge_radius,44,55,0,3
charge_radius,44,56,0,3
charge_radius,44,57,0,3
charge_radius,44,58,0,3
charge_radius,44,60,0,3
charge_radius,45,58,0,3
charge_radius,46,56,0,3
charge_radius,46,58,0,3
charge_radius,46,59,0,3
charge_radius,46,60,0,3
charge_radius,46,62,0,3
charge_radius,46,64,0,3
charge_radius,47,54,0,3
charge_radius,47,56,0,3
charge_radius,47,57,0,3
charge_radius,47,58,0,3
charge_radius,47,60,0,3
charge_radius,47,62,0,3
charge_radius,48,54,0,3
charge_radius,48,55,0,3
charge_radius,48,56,0,3
charge_radius,48,57,0,3
charge_radius,48,58,0,3
charge_radius,48,59,0,3
charge_radius,48,60,0,3
charge_radius,48,61,0,3
charge_radius,48,62,0,3
charge_radius,48,63,0,4
charge_radius,48,64,0,4
charge_radius,48,65,0,4
charge_radius,48,66,0,4
charge_radius,48,67,0,4
charge_radius,48,68,0,4
charge_radius,48,69,0,4
charge_radius,48,70,0,4
charge_radius,48,72,0,4
charge_radius,49,55,0,3
charge_radius,49,56,0,3
charge_radius,49,57,0,3
charge_radius,49,58,0,3
charge_radius,49,59,0,3
charge_radius,49,60,0,3
charge_radius,49,61,0,3
charge_radius,49,62,0,4
