z,n,a,symbol,training_measurement_fm,training_measurement_unc_fm,nuclr_prediction_fm,nuclr_seed_std_fm,nuclr_model_count,nuclr_prediction_kind,interval_kind,interval68_half_width_fm,interval68_lower_fm,interval68_upper_fm,interval95_half_width_fm,interval95_lower_fm,interval95_upper_fm,external_measurement_fm,external_measurement_unc_fm,external_source_key,external_source_doi,training_status
11,11,22,Na,2.9852,0.0169,3.051706,0.0011240935,4,measured_target_oof_4_models,heldout_test_aggregate,0.01674748151,3.034958518,3.068453482,0.03358784421,3.018118156,3.085293844,,,,,
11,12,23,Na,2.9936,0.0021,3.0313146,0.0015325126,4,measured_target_oof_4_models,heldout_test_aggregate,0.01743151029,3.01388309,3.04874611,0.03863544679,2.992679153,3.069950047,,,,,
11,13,24,Na,2.9735,0.0169,2.9912233,0.00046361,4,measured_target_oof_4_models,heldout_test_aggregate,0.01586347631,2.975359824,3.007086776,0.03487631266,2.956346987,3.026099613,,,,,
11,14,25,Na,2.9769,0.0252,2.987834,0.0008242636,4,measured_target_oof_4_models,heldout_test_aggregate,0.01741672425,2.970417276,3.005250724,0.03894218152,2.948891818,3.026776182,,,,,
11,15,26,Na,2.9928,0.0331,2.9936786,0.00060656277,4,measured_target_oof_4_models,heldout_test_aggregate,0.02472554175,2.968953058,3.018404142,0.0580608218,2.935617778,3.051739422,,,,,
11,16,27,Na,3.0136,0.0467,3.0437005,0.0013517654,4,measured_target_oof_4_models,heldout_test_aggregate,0.02087519031,3.02282531,3.06457569,0.04559051471,2.998109985,3.089291015,,,,,
11,17,28,Na,3.04,0.0581,3.0275097,0.0012887149,4,measured_target_oof_4_models,heldout_test_aggregate,0.02670766854,3.000802031,3.054217369,0.05931228403,2.968197416,3.086821984,,,,,
11,18,29,Na,3.0922,0.0723,3.06008,0.0008438991,4,measured_target_oof_4_models,heldout_test_aggregate,0.04168549365,3.018394506,3.101765494,0.09159396608,2.968486034,3.151673966,,,,,
11,19,30,Na,3.118,0.0884,3.066813,0.000697905,4,measured_target_oof_4_models,heldout_test_aggregate,0.03023989695,3.036573103,3.097052897,0.06658037734,3.000232623,3.133393377,,,,,
11,20,31,Na,3.1704,0.0893,3.0812993,0.0019237472,4,measured_target_oof_4_models,heldout_test_aggregate,0.05910426588,3.022195034,3.140403566,0.1260535034,2.955245797,3.207352803,,,,,
11,21,32,Na,,,3.111441,0.0083088735,40,unmeasured_target_40_models,extrapolation_model_estimate,0.07449955232,3.036941448,3.185940552,0.1547158163,2.956725184,3.266156816,,,,,
11,22,33,Na,,,3.1145215,0.008376632,40,unmeasured_target_40_models,extrapolation_model_estimate,0.06227811618,3.052243384,3.176799616,0.1362710158,2.978250484,3.250792516,,,,,
11,23,34,Na,,,3.108028,0.007455746,40,unmeasured_target_40_models,extrapolation_model_estimate,0.0526026032,3.055425397,3.160630603,0.1101752134,2.997852787,3.218203213,,,,,
11,24,35,Na,,,3.121424,0.008623432,40,unmeasured_target_40_models,extrapolation_model_estimate,0.05171464886,3.069709351,3.173138649,0.1108993103,3.01052469,3.23232331,,,,,
11,25,36,Na,,,3.1190555,0.007804488,40,unmeasured_target_40_models,extrapolation_model_estimate,0.05113907318,3.067916427,3.170194573,0.1107660649,3.008289435,3.229821565,,,,,
11,26,37,Na,,,3.1338792,0.00858569,40,unmeasured_target_40_models,extrapolation_model_estimate,0.05396449729,3.079914703,3.187843697,0.1149766142,3.018902586,3.248855814,,,,,
12,11,23,Mg,,,3.065339,0.007084678,40,unmeasured_target_40_models,extrapolation_model_estimate,0.01017099513,3.055168005,3.075509995,0.0218979938,3.043441006,3.087236994,,,,,
12,12,24,Mg,3.057,0.0016,3.0691006,0.0024531365,4,measured_target_oof_4_models,heldout_test_aggregate,0.01136331178,3.057737288,3.080463912,0.02757333225,3.041527268,3.096673932,,,,,
12,13,25,Mg,3.0284,0.0022,3.0292745,0.0012294838,4,measured_target_oof_4_models,heldout_test_aggregate,0.02124812348,3.008026377,3.050522623,0.04751349835,2.981761002,3.076787998,,,,,
12,14,26,Mg,3.0337,0.0018,3.0295253,0.0012772434,4,measured_target_oof_4_models,heldout_test_aggregate,0.01549824026,3.01402706,3.04502354,0.03140055782,2.998124742,3.060925858,,,,,
12,15,27,Mg,,,3.0443401,0.0022082657,40,unmeasured_target_40_models,extrapolation_model_estimate,0.01082812959,3.03351197,3.05516823,0.02344584837,3.020894252,3.067785948,,,,,
12,16,28,Mg,,,3.076591,0.0028747031,40,unmeasured_target_40_models,extrapolation_model_estimate,0.01466897421,3.061922026,3.091259974,0.03101597032,3.04557503,3.10760697,,,,,
12,17,29,Mg,,,3.083664,0.0025180152,40,unmeasured_target_40_models,extrapolation_model_estimate,0.01541490418,3.068249096,3.099078904,0.03264553685,3.051018463,3.116309537,,,,,
12,18,30,Mg,,,3.1097977,0.0047142883,40,unmeasured_target_40_models,extrapolation_model_estimate,0.0153891635,3.094408536,3.125186864,0.03166113431,3.078136566,3.141458834,,,,,
12,19,31,Mg,,,3.11737,0.003944519,40,unmeasured_target_40_models,extrapolation_model_estimate,0.02163761596,3.095732384,3.139007616,0.04538786399,3.071982136,3.162757864,,,,,
12,20,32,Mg,,,3.1437783,0.006852471,40,unmeasured_target_40_models,extrapolation_model_estimate,0.02853493541,3.115243365,3.172313235,0.06020232995,3.08357597,3.20398063,,,,,
12,21,33,Mg,,,3.1472595,0.005499246,40,unmeasured_target_40_models,extrapolation_model_estimate,0.03568976377,3.111569736,3.182949264,0.07507799718,3.072181503,3.222337497,,,,,
