z,n,a,symbol,measurement_e2_b2,stl_oof_prediction_e2_b2,stl_oof_seed_std_e2_b2,stl_oof_model_count
12,12,24,Mg,0.008744,0.017761335,0.0085106185,4
12,14,26,Mg,0.006272,0.010107501,0.00043088748,4
12,16,28,Mg,0.00732,0.006070474,0.00025434812,4
12,18,30,Mg,0.00546,0.010708229,0.0021326912,4
12,20,32,Mg,0.00868,0.0025756396,0.0008827394,4
12,22,34,Mg,0.01146,0.008931596,0.0015138366,4
12,24,36,Mg,0.01059126184,0.018213702,0.002676586,4
14,12,26,Si,0.00688,0.0023736937,0.0001826324,4
14,14,28,Si,0.006534,0.004154315,0.0020349694,4
14,16,30,Si,0.004162,0.0027768232,0.0011976856,4
14,18,32,Si,0.00244,0.0038622802,0.00085640606,4
14,20,34,Si,0.0017,0.005546274,0.0012189851,4
14,22,36,Si,0.00386,0.0061662016,0.0008669743,4
14,24,38,Si,0.00386,0.007938275,0.0016641497,4
14,26,40,Si,0.0086,0.0042883856,0.0017845071,4
16,12,28,S,0.00362,0.0074402196,0.0012773168,4
16,14,30,S,0.00648,0.0057569356,0.00043340412,4
16,16,32,S,0.005916,0.00439522,0.00028761956,4
16,18,34,S,0.004166,0.0055551557,0.0017281802,4
16,20,36,S,0.001772,0.007879823,0.004083512,4
16,22,38,S,0.0047,0.0066919387,0.00011383661,4
16,24,40,S,0.00668,0.0063164504,0.0017312146,4
16,26,42,S,0.00794,0.009926248,0.00037022974,4
16,28,44,S,0.00628,0.003793469,0.0008899608,4
18,14,32,Ar,0.00532,0.005394294,0.00038809722,4
18,16,34,Ar,0.00464,0.0063544954,0.0004935849,4
18,18,36,Ar,0.00602,0.0039046244,0.0001728182,4
18,20,38,Ar,0.00249,0.009166236,0.0016371121,4
18,22,40,Ar,0.00664,0.006040148,0.0005972024,4
18,24,42,Ar,0.0084,0.0075939684,0.00087125326,4
18,26,44,Ar,0.00716,0.008145261,0.00030337056,4
18,28,46,Ar,0.00486,0.0034249285,0.00083372416,4
18,30,48,Ar,0.00692,0.0026781145,0.0014376111,4
20,18,38,Ca,0.00194,0.0018271613,0.00019339717,4
20,20,40,Ca,0.001848,0.00031676778,0.00010860587,4
20,22,42,Ca,0.00738,0.0029612083,0.0009492441,4
20,24,44,Ca,0.00934,0.004861193,0.0010623247,4
20,26,46,Ca,0.00336,0.007981379,0.0022214013,4
20,28,48,Ca,0.00184,0.002502084,0.00039141075,4
20,30,50,Ca,0.000746,0.0036967576,0.00030901676,4
21,21,42,Sc,0.008325111623,0.011545039,0.0041014263,4
22,20,42,Ti,0.0172,0.014789227,0.0009533406,4
22,22,44,Ti,0.0136,0.011889448,0.0020221965,4
22,24,46,Ti,0.01902,0.022956887,0.004137337,4
22,26,48,Ti,0.01324,0.010410931,0.0024005612,4
22,28,50,Ti,0.0055,0.008969333,0.00042150094,4
22,30,52,Ti,0.01206,0.013840045,0.006708172,4
22,32,54,Ti,0.00714,0.012709336,0.0010855254,4
22,34,56,Ti,0.012,0.012487477,0.00092738564,4
24,22,46,Cr,0.0186,0.022614297,0.0015372072,4
24,24,48,Cr,0.0274,0.024147628,0.0049788086,4
24,26,50,Cr,0.02104,0.020770885,0.00019801345,4
24,28,52,Cr,0.01244,0.009325415,0.0029776767,4
24,30,54,Cr,0.01706,0.014099628,0.0051916633,4
24,32,56,Cr,0.011,0.01687282,0.001017704,4
24,34,58,Cr,0.0194,0.022780526,0.0018291313,4
24,36,60,Cr,0.0242,0.027256232,0.0014971006,4
24,38,62,Cr,0.0346,0.029963415,0.0006479771,4
24,40,64,Cr,0.0312,0.02321359,0.0036179866,4
25,25,50,Mn,0.01520878724,0.0069361744,0.003884492,4
26,24,50,Fe,0.02844809123,0.029643303,0.0062598716,4
26,26,52,Fe,0.01637115225,0.021211462,0.0013609994,4
26,28,54,Fe,0.01216,0.011573501,0.00061014364,4
26,30,56,Fe,0.01962,0.027416026,0.010409177,4
26,32,58,Fe,0.0244,0.012090396,0.00056502497,4
26,34,60,Fe,0.01876,0.02032229,0.0010030647,4
26,36,62,Fe,0.0204,0.022937275,0.00022592353,4
26,38,64,Fe,0.0346,0.026879799,0.00024355367,4
26,40,66,Fe,0.0304,0.035404682,0.009203611,4
