z,n,a,symbol,measurement_fm,stl_oof_prediction_fm,stl_oof_seed_std_fm,stl_oof_model_count
11,11,22,Na,2.9852,3.4991267,0.03676487,4
11,12,23,Na,2.9936,3.0148463,0.0047416133,4
11,13,24,Na,2.9735,2.9742393,0.0016609008,4
11,14,25,Na,2.9769,3.0044427,0.003281648,4
11,15,26,Na,2.9928,3.0026891,0.0049152942,4
11,16,27,Na,3.0136,3.02931,0.010062599,4
11,17,28,Na,3.04,3.0388546,0.0051852926,4
11,18,29,Na,3.0922,3.079646,0.0024751283,4
11,19,30,Na,3.118,3.089664,0.002895339,4
11,20,31,Na,3.1704,3.0813024,0.005047508,4
12,12,24,Mg,3.057,3.0457506,0.0012850997,4
12,13,25,Mg,3.0284,3.0154772,0.005804001,4
12,14,26,Mg,3.0337,3.0493174,0.0031381065,4
13,14,27,Al,3.061,4.0371833,0.012647827,4
14,14,28,Si,3.1224,3.1018825,0.0008257146,4
14,15,29,Si,3.1176,3.1242678,0.0008177339,4
14,16,30,Si,3.1336,3.1524885,0.0010575689,4
15,16,31,P,3.1889,3.8779025,0.06634945,4
16,16,32,S,3.2611,3.2132845,0.0026005073,4
16,18,34,S,3.2847,3.29196,0.0014860393,4
16,20,36,S,3.2985,3.317715,0.005515501,4
17,18,35,Cl,3.3654,3.3535862,0.0015499156,4
17,20,37,Cl,3.384,3.390565,0.0033952217,4
18,14,32,Ar,3.3468,3.304741,0.0042860713,4
18,15,33,Ar,3.3438,3.3109593,0.0022847468,4
18,16,34,Ar,3.3654,3.3504395,0.0012287372,4
18,17,35,Ar,3.3636,3.3471441,0.005153839,4
18,18,36,Ar,3.3905,3.397422,0.0031866839,4
18,19,37,Ar,3.3908,3.4051628,0.0025659432,4
18,20,38,Ar,3.4028,3.4171264,0.0063997926,4
18,21,39,Ar,3.4093,3.4324203,0.0043624663,4
18,22,40,Ar,3.4274,3.4430177,0.0030855646,4
18,23,41,Ar,3.4251,3.4332073,0.00193271,4
18,24,42,Ar,3.4414,3.447142,0.0039584194,4
18,25,43,Ar,3.4354,3.4377205,0.001789198,4
18,26,44,Ar,3.4454,3.4356506,0.0015490352,4
18,28,46,Ar,3.4377,3.4097552,0.0019061635,4
19,19,38,K,3.4264,3.4225836,0.0013372893,4
19,20,39,K,3.4349,3.4365938,0.0020545311,4
19,21,40,K,3.4381,3.4453044,0.0036273913,4
19,22,41,K,3.4518,3.4617422,0.002080237,4
19,23,42,K,3.4517,3.4513154,0.0027741143,4
19,24,43,K,3.4556,3.463787,0.002602014,4
19,25,44,K,3.4563,3.4545984,0.0024926234,4
19,26,45,K,3.4605,3.4588227,0.001836364,4
19,27,46,K,3.4558,3.4351666,0.0014386638,4
19,28,47,K,3.4534,3.4329891,0.0040532057,4
20,19,39,Ca,3.4595,3.4601865,0.0010597834,4
20,20,40,Ca,3.4776,3.463469,0.0014177653,4
20,21,41,Ca,3.478,3.4915519,0.0016595407,4
20,22,42,Ca,3.5081,3.499274,0.0014217739,4
20,23,43,Ca,3.4954,3.4919255,0.0012160309,4
20,24,44,Ca,3.5179,3.5026114,0.0022701852,4
20,25,45,Ca,3.4944,3.4969034,0.00361305,4
20,26,46,Ca,3.4953,3.5011017,0.0020758372,4
